name,description,paralog
group_5053,transposase-like protein IS1381 ISSpn7,0
malK_2~~~malK~~~~~~fbpC_1~~~malK_1,ATP-binding component of ABC transporterMaltose/maltodextrin import ATP-binding protein MalKputrescine/spermidine ABC transporter ATPase proteinABC-type spermidine/putrescine transport systems ATPase componentsputative 2-aminoethylphosphonate ABC transporter ATP-binding proteinABC transporter,1
group_1873,putative phosphoribosylaminoimidazole carboxylase catalytic subunitN5-carboxyaminoimidazole ribonucleotide mutasePhosphoribosylcarboxyaminoimidazole (NCAIR) mutasephosphoribosylaminoimidazole carboxylase catalytic subunitAIR carboxylase,1
group_4116,hypothetical protein,1
group_3149,phage proteinLactococcus phage M3 protein,0
group_406,Fic protein family,1
group_1677,PblBPhage-related proteinphage minor structural protein N-terminal regionBaculovirus polyhedron envelope protein PEP C terminus,0
pezT_1,transposase (IS4 family)UDP-N-acetylglucosamine kinase,1
phtD~~~mecA_1~~~mecA_2,pneumococcal histidine triad protein BAdapter protein mecAadaptor proteinNegative regulator of genetic competence sporulation and motilitystreptococcal histidine triad proteinStreptococcal histidine triad protein,1
mga~~~~~~atxA,transcriptional activator,0
group_491,sortase-like acyltransferaseAcetyltransferase (GNAT) family,0
group_1555,transcriptional regulatorPredicted membrane proteinPredicted membrane protein (DUF2154),1
immR~~~immR_1,type II restriction-modification system regulatory proteinHTH-type transcriptional regulator immRtranscriptional repressor DicAPredicted transcriptional regulatorHelix-turn-helix domain,1
lysS,lysyl-tRNA synthetaseLysine--tRNA ligaselysyl-tRNA synthetaseAspartyl/asparaginyl-tRNA synthetaseslysine--tRNA ligasetRNA synthetases class II (D K and N),1
group_4650,hypothetical protein,1
amiE,peptide ABC transporter ATP-binding proteinGlutathione import ATP-binding protein GsiAoligopeptide transporter ATP-binding componentABC-type oligopeptide transport system ATPase componentnickel import ATP-binding protein NikDABC transporter,0
group_1018,transcriptional regulatortranscriptional repressor DicAHelix-turn-helix domain,1
lysS_1~~~lysS_2~~~lysS,Lysyl-tRNA synthetase class-2Lysine--tRNA ligaselysyl-tRNA synthetaseAspartyl/asparaginyl-tRNA synthetaseslysine--tRNA ligasetRNA synthetases class II (D K and N),1
frlR,GntR family transcriptional regulatorHTH-type transcriptional regulator frlRDNA-binding transcriptional regulator FrlRTranscriptional regulatorshistidine utilization repressorBacterial regulatory proteins gntR family,1
ecsA_4,ABC transporter ATP-binding proteinABC-type transporter ATP-binding protein EcsAglutamine ABC transporter ATP-binding proteinABC-type Na+ transport system ATPase componentlantibiotic protection ABC transporter ATP-binding subunitABC transporter,0
group_855,putative transcriptional regulatorbifunctional HTH-domain containing protein/aminotransferasePeptidase S24-like,0
femX~~~~~~fibA~~~femB,serine/alanine-adding enzyme MurMLipid II:glycine glycyltransferaseUncharacterized protein involved in methicillin resistanceFemAB family,0
ccpA_1~~~ccpA_2~~~ccpA_3,catabolite control protein AGlucose-resistance amylase regulatorDNA-binding transcriptional regulator CytRABC-type sugar transport system periplasmic componentcatabolite control protein ABacterial regulatory proteins lacI family,1
group_3846,XRE family transcriptional regulatorHTH-type transcriptional regulator immRhypothetical proteintranscriptional regulator y4mF familyHelix-turn-helix,0
glyA_1~~~glyA1~~~glyA2,serine hydroxymethyltransferasePyridoxal-phosphate-dependent serine hydroxymethyltransferase 1serine hydroxymethyltransferaseSerine hydroxymethyltransferase,0
pfl_2~~~~~~pfl_1~~~pflB~~~pfl,pyruvate formate-lyaseFormate acetyltransferaseputative formate acetyltransferase 2formate acetyltransferasePyruvate formate lyase,1
aliA_2~~~aliA_1,oligopeptide ABC transporter oligopeptide-binding protein AliA76 kDa cell surface lipoproteinoligopeptide ABC transporter substrate-binding protein OppAABC-type oligopeptide transport system periplasmic componentnickel ABC transporter nickel/metallophore periplasmic binding proteinBacterial extracellular solute-binding proteins family 5 Middle,0
tuf_1,transposaseElongation factor Tuelongation factor TuGTPases - translation elongation factorstranslation elongation factor TuElongation factor Tu C-terminal domain,0
lytB_2~~~~~~cbpA~~~lytA_8~~~pspA~~~lytA_1~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_2~~~lytA_4~~~lytA_6~~~lytB_3~~~pspC2~~~lytB_4~~~bag~~~cbpA_1~~~lytB_5~~~pspC~~~cbpA_2~~~pspA_1~~~toxA~~~cbp2_2~~~toxB~~~pspC_1~~~pspA_2~~~lytB_6~~~bag_1~~~lytA_7,choline-binding surface protein AAutolysinglucan-binding repeatPutative cell wall binding repeat,1
phtA~~~phtA_2~~~phtA_1~~~~~~phtD_2~~~phtD~~~phtD_1~~~phpA,histidine triad protein Dstreptococcal histidine triad proteinStreptococcal histidine triad protein,0
group_120,sphingosine kinasePutative lipid kinase SP_1045putative lipid kinaselipid kinase YegS/Rv2252/BmrU familyDiacylglycerol kinase catalytic domain,1
lmrA_2~~~lmrA~~~~~~ABCMSPtruncation~~~bmrA_2~~~bmrA~~~lmrA_1~~~bmrA_1,ABC transporterMultidrug resistance ABC transporter ATP-binding and permease proteinputative multidrug transporter membrane\ATP-binding componentsABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainantigen peptide transporter 2ABC transporter transmembrane region,0
group_2659,hypothetical protein,0
cynX~~~cynX_2~~~cynX_1,cyanate permeaseInner membrane transport protein YeaNcyanate transporter,1
group_3505,integral membrane proteinMtN3/saliva family,0
group_1077,PTS system transporter subunit IIA,1
glgP2_1~~~glgP2,maltodextrin phosphorylaseMaltodextrin phosphorylasemaltodextrin phosphorylaseglycogen/starch/alpha-glucan phosphorylasesCarbohydrate phosphorylase,1
phtD~~~phtD_2~~~~~~phtA_2~~~phtD_1~~~phpA~~~phtA~~~phtA_1~~~phpA_1~~~phtD_3,pneumococcal histidine triad protein D truncationstreptococcal histidine triad proteinStreptococcal histidine triad protein,1
hsdS_3~~~hsdS_1~~~~~~hsdS~~~glnA_1~~~hsdS_2,type I restriction enzymeEcoKI restriction-modification system protein HsdSType I restriction modification DNA specificity domain,1
group_4491,excreted peptide,1
hsdM_1~~~hsdM~~~hsdM_2,type I restriction-modification system methyltransferase subunitType I restriction enzyme EcoKI M proteinType I restriction-modification system methyltransferase subunitN-6 DNA Methylase,0
group_4013,bacteriocin-associated integral membrane proteinUncharacterized protein conserved in bacteriabacteriocin-associated integral membrane proteinProtein of unknown function (DUF1430),1
group_1215,IntegraseIntegrasesite-specific tyrosine recombinase XerCSite-specific recombinase XerDtyrosine recombinase XerDPhage integrase family,0
group_102,endo-alpha-N-acetylgalactosaminidaseEndo-alpha-N-acetylgalactosaminidase precursorgram-positive signal peptide YSIRK familyEndo-alpha-N-acetylgalactosaminidase glycoside hydrolase,0
spxA_4,putative CAAX amino terminal proteaseCAAX amino terminal protease self- immunity,1
lytB_2~~~~~~cbpA~~~lytA_8~~~pspA~~~lytA_1~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_2~~~lytA_4~~~lytA_6~~~lytB_3~~~pspC2~~~lytB_4~~~bag~~~cbpA_1~~~lytB_5~~~pspC~~~cbpA_2~~~pspA_1~~~toxA~~~cbp2_2~~~toxB~~~pspC_1~~~pspA_2~~~lytB_6~~~bag_1~~~lytA_7,surface protein PspAToxin ABeta- N-acetylglucosaminidaseglucan-binding repeatPutative cell wall binding repeat,1
group_2546,flippase WzxPutative O-antigen transporterintegral membrane protein MviNPolysaccharide biosynthesis protein,0
yfhA,iron ABC transporter membrane-spanning permeaseProbable siderophore transport system permease protein yfhAiron-hydroxamate transporter permease subunitABC-type Fe3+-siderophore transport system permease componentproposed F420-0 ABC transporter permease proteinFecCD transport family,1
group_4431,ferredoxin,1
group_3608,hypothetical protein,0
IS861truncation_1,degenerate transposase (orf2),1
group_5067,degenerate transposaseTransposase and inactivated derivativesTransposase,1
sacA_2,sucrose-6-phosphate hydrolasesucrose-6-phosphate hydrolaseGlycosyl hydrolases family 32 C terminal,0
rarA_1,chromosome segregation helicase ATPase AAA familyReplication-associated recombination protein Arecombination factor protein RarAHolliday junction resolvasome helicase subunitDNA polymerase III subunit gamma and tauMgsA AAA+ ATPase C terminal,0
yqbO_2~~~yqbO,phage tail length tape-measure protein,0
group_2584,DNA primaseDNA primase (bacterial type),1
PTSEIIC_1~~~PTSEIIC_2~~~PTSEIIC,PTS system IIC componentPhosphotransferase system mannose/fructose/N-acetylgalactosamine-specific component IIC,1
vrlS_2~~~vrlS_1~~~vrlS_3~~~vrlS,DEAD-DEAH box helicase domain-containing proteinski2-like helicaseSuperfamily II helicaseDEAD/DEAH box helicase,0
pepS,AminopeptidaseAminopeptidase pepSThermophilic metalloprotease (M29),1
potH~~~cysW~~~ydcU~~~modB~~~potH_1,iron ABC transporter permeasePutrescine transport system permease protein PotHmolybdate ABC transporter permease proteinABC-type uncharacterized transport system permease componentputative 2-aminoethylphosphonate ABC transporter permease proteinBinding-protein-dependent transport system inner membrane component,1
rplR,50S ribosomal protein L1850S ribosomal protein L1850S ribosomal protein L18ribosomal protein L18Ribosomal L18p/L5e family,1
vanUG2,vanUG2Predicted transcriptional regulator,0
group_2628,exported glycosyl hydrolaseGlycosyl hydrolase family 98,0
group_1477,serine/threonine protein phosphatase,0
group_2548,transposase,1
cpnA,short chain dehydrogenaseCyclopentanol dehydrogenase3-ketoacyl-(acyl-carrier-protein) reductaseUncharacterized conserved protein3-hydroxybutyrate dehydrogenaseshort chain dehydrogenase,0
group_3630,double glycine cleavage site bacteriolysin superfamilyCOMC family,0
frr,ribosome recycling factorRibosome-releasing factorribosome recycling factorTranslation elongation factor Tsribosome recycling factorRibosome recycling factor,0
group_2897,hypothetical protein,0
lacF_4~~~lacF_3,PTS system lactose-specific transporter subunit IIALactose-specific phosphotransferase enzyme IIA componentcellobiose phosphotransferase system IIA componentPTS system lactose-specific IIa componentPTS system Lactose/Cellobiose specific IIA subunit,0
group_1731,parvulin-like peptidyl-prolyl isomerase,1
lacZ,beta-galactosidaseUncharacterized protein conserved in bacteriaLPXTG cell wall anchor domainBacterial Ig-like domain (group 4),1
ffh,signal recognition particle proteinFifty-four homologsignal recognition particle proteinSignal recognition particle GTPasesignal recognition particle proteinSRP54-type protein GTPase domain,0
group_4738,PTS system galactose-specific transporter subunit IIBPhosphotransferase system galactitol-specific IIB componentPTS system Lactose/Cellobiose specific IIB subunit,0
lmrA_2~~~lmrA~~~~~~ABCMSPtruncation~~~bmrA_2~~~bmrA~~~lmrA_1~~~bmrA_1,ABC transporter ATP-binding proteinMultidrug resistance ABC transporter ATP-binding/permease protein BmrAlipid transporter ATP-binding/permease proteinABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainABC transporter permease/ATP-binding proteinABC transporter transmembrane region,0
group_2781,phage membrane protein,0
araD~~~ulaF,L-ribulose-5-phosphate 4-epimeraseL-ribulose-5-phosphate 4-epimeraseL-ribulose-5-phosphate 4-epimeraseRibulose-5-phosphate 4-epimerase and related epimerases and aldolasesL-ribulose-5-phosphate 4-epimeraseClass II Aldolase and Adducin N-terminal domain,1
group_2620,membrane protein,1
group_2235,Tn5252 ORF 10 protein,1
nanA_2~~~nanA_4~~~nanA_3~~~pezT_2~~~atpB_1~~~atpB_2,IS1381 transposase OrfA,1
bcsA,hypothetical protein,0
transposase_C~~~transposase_C_2~~~transposase_C_1,transposaseseptation ring formation regulator EzrANegative regulator of septation ring formationSeptation ring formation regulator EzrA,1
lytB_2~~~~~~cbpA~~~lytA_8~~~pspA~~~lytA_1~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_2~~~lytA_4~~~lytA_6~~~lytB_3~~~pspC2~~~lytB_4~~~bag~~~cbpA_1~~~lytB_5~~~pspC~~~cbpA_2~~~pspA_1~~~toxA~~~cbp2_2~~~toxB~~~pspC_1~~~pspA_2~~~lytB_6~~~bag_1~~~lytA_7,surface protein AAutolysinPutative cell wall binding repeat,1
group_1429,hypothetical protein,1
trpF,N-(5'-phosphoribosyl)anthranilate isomeraseN-(5'-phosphoribosyl)anthranilate isomeraseN-(5'-phosphoribosyl)anthranilate isomerasePhosphoribosylanthranilate isomeraseN-(5'phosphoribosyl)anthranilate (PRA) isomerase,0
group_1100,TetR family transcriptional regulatorDNA-binding transcriptional repressor FabRprobable dihydroxyacetone kinase regulatorBacterial regulatory proteins tetR family,1
group_1301,Hypothetical protein (DUF2513),0
hpaIIM_2~~~~~~spxA_6~~~spxA_2~~~spxA_5,Tn5253 CAAX amino terminal protease family,1
IS861truncation~~~~~~IS861truncation_3~~~IS861truncation_2~~~IS861truncation_1~~~parE_1,transposase-like protein IS1167Transposase and inactivated derivatives,1
group_1569,GNAT family acetyltransferaseGNAT acetyltransferase,0
gmuC_3~~~gmuC_4,lichenan permease iic component (pts system lichenan-specific eiiccomponent) (eiic-lic)PTS system oligo-beta-mannoside-specific EIIC componentcellobiose phosphotransferase system IIC componentPhosphotransferase system cellobiose-specific component IICPTS system cellobiose-specific IIC componentPhosphotransferase system EIIC,1
pnuC~~~pnuC_1~~~pnuC_2,transporterNicotinamide riboside transporter pnuCnicotinamide riboside transporter PnuCNicotinamide mononucleotide transporternicotinamide mononucleotide transporter PnuCNicotinamide mononucleotide transporter,1
group_1886,MHP,0
group_1764,thioredoxinhypothetical proteinthiol-disulfide oxidoreductaseperiplasmic protein thiol:disulfide oxidoreductases DsbE subfamilyRedoxin,1
gdhA_1~~~gdhA_2~~~gdhA,glutamate dehydrogenaseNADP-specific glutamate dehydrogenaseglutamate dehydrogenaseGlu/Leu/Phe/Val dehydrogenase dimerisation domain,1
bglF_2~~~bglF~~~bglF_1,PTS system beta-glucoside-specific transporter subunit EIIABCEIIBCA-BglPTS system cellobiose/arbutin/salicin-specific transporter subunits IIBCPTS system beta-glucoside-specific IIABC componentphosphotransferase system EIIB,1
era,GTPase EraGTPase EraGTPase EraPredicted GTPaseGTP-binding protein EraGTPase of unknown function,0
bltD~~~bltD_2,acetyltransferaseSpermine/spermidine acetyltransferaseAcetyltransferase (GNAT) family,1
speA_1~~~speA_2~~~speA~~~speA_3,ornithine decarboxylase family proteinArginine decarboxylaselysine decarboxylase LdcCOrn/Lys/Arg decarboxylase C-terminal domain,0
lytA_2~~~cbpJ_2~~~cbpF~~~lytA_3~~~cbpJ_1~~~toxA_3~~~lytA_4~~~lytA_5~~~lytA_6~~~toxA~~~~~~toxA_1~~~lytA_1~~~lytA_7~~~toxA_2,choline-binding protein F point mutationAutolysinglucan-binding repeatPutative cell wall binding repeat,1
group_2156,type I restriction-modification system R subunitType-1 restriction enzyme R proteintype I restriction enzyme EcoKI subunit RPredicted HKD family nucleasetype I site-specific deoxyribonuclease HsdR familyDomain of unknown function (DUF3559),1
yycG_2~~~yycG_1~~~yycG~~~tcrY~~~baeS,signal transduction histidine kinase,0
prtP~~~prtP_2~~~prtP_1,serine proteasePTS system galactitol-specific transporter subunit IIALPXTG cell wall anchor domainPhosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2,1
lytB_2~~~~~~cbpA~~~lytA_8~~~pspA~~~lytA_1~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_2~~~lytA_4~~~lytA_6~~~lytB_3~~~pspC2~~~lytB_4~~~bag~~~cbpA_1~~~lytB_5~~~pspC~~~cbpA_2~~~pspA_1~~~toxA~~~cbp2_2~~~toxB~~~pspC_1~~~pspA_2~~~lytB_6~~~bag_1~~~lytA_7,surface protein AAutolysinglucan-binding repeatPutative cell wall binding repeat,1
lytB_2~~~~~~cbpA~~~lytA_8~~~pspA~~~lytA_1~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_2~~~lytA_4~~~lytA_6~~~lytB_3~~~pspC2~~~lytB_4~~~bag~~~cbpA_1~~~lytB_5~~~pspC~~~cbpA_2~~~pspA_1~~~toxA~~~cbp2_2~~~toxB~~~pspC_1~~~pspA_2~~~lytB_6~~~bag_1~~~lytA_7,surface protein PspCAutolysinBeta- N-acetylglucosaminidaseglucan-binding repeatRICH domain,1
pezA_1~~~pezA_2~~~pezA_3~~~pezT_2~~~pezT~~~pezT_3~~~pezT_1~~~pezA_4~~~pezA~~~pezA_5~~~pezT_4~~~pezA_6,signal recognition particle GTPaseUDP-N-acetylglucosamine kinaseZeta toxin,1
fhs_2~~~fhs_1~~~~~~fhs,transporter major facilitator family proteinMajor Facilitator Superfamily,1
macB_5,efflux ABC transporter permeaeTransposase,1
group_5041,Prevent host death family proteinprevent-host-death family proteinPhd_YefM,1
group_2380,transposaseTransposase and inactivated derivativesTransposase,1
hmpT_2~~~hmpT~~~hmpT_1,integral membrane proteinThiamine precursor ECF transporter S component HmpTPredicted membrane proteinProtein of unknown function (DUF1393),1
group_1475,hypothetical protein,0
group_462,phage minor structural proteinCollagen triple helix repeat (20 copies),1
ebh_2~~~ebh_1~~~~~~ebh~~~ebh_3~~~ebh_4,surface anchored proteinDomain of Unknown Function (DUF1542),0
IS1167truncation~~~xerC_2~~~xerC_3,IS1167 transposaseTransposase and inactivated derivatives,1
group_196,nucleotide-binding proteincytochrome c biogenesis protein CcmAABC-type transport system involved in cytochrome c biogenesis ATPase componentheme ABC exporter ATP-binding protein CcmA,1
group_2470,hypothetical protein,1
pnpA~~~pnpA_1~~~pnpA_2,polyribonucleotide nucleotidyltransferasePolyribonucleotide nucleotidyltransferasepolynucleotide phosphorylase/polyadenylaseRNase PH-related exoribonucleasepolyribonucleotide nucleotidyltransferase3' exoribonuclease family domain 1,1
group_1687,lantibiotic synthetasetype 2 lantibiotic biosynthesis protein LanMLanthionine synthetase C-like protein,1
group_302,transposase-like protein IS1381 ISSpn7Transposase and inactivated derivatives,1
glnQ_4~~~~~~yecS_3~~~glnQ_3~~~glnQ_1~~~tcyC~~~artM_2~~~tcyC_1~~~artM_5~~~artM_1~~~artM_4,amino acid ABC transporter ATP-binding proteinGlutamine transport ATP-binding protein GlnQglutamine ABC transporter ATP-binding proteinABC-type histidine transport system ATPase componentputative 2-aminoethylphosphonate ABC transporter ATP-binding proteinABC transporter,0
gmuC_1~~~gmuC_2,PTS system transporter subunit IICPTS system oligo-beta-mannoside-specific EIIC componentcellobiose phosphotransferase system IIC componentPhosphotransferase system cellobiose-specific component IICPTS system cellobiose-specific IIC componentPhosphotransferase system EIIC,0
group_3665,hypothetical protein,0
lrp_1~~~lrp_2,putative surface anchored protein,1
pezT_3~~~pezT_4~~~pezA_2~~~pezA_3~~~pezA~~~pezA_1~~~nplT_1~~~pezA_4,transcriptional regulatorAntitoxin PezAputative zinc finger/helix-turn-helix protein YgiT familyHelix-turn-helix domain,1
group_1145,cytosine methyl transferaseModification methylase HaeIIIDNA cytosine methylaseDNA (cytosine-5-)-methyltransferaseC-5 cytosine-specific DNA methylase,1
group_3200,hypothetical protein,0
pezA_2~~~pezA_1~~~pezA_3~~~pezA_5~~~pezT_1~~~pezT_2~~~pezT_4~~~pezT_3~~~pezA~~~pezT,relaxaseUDP-N-acetylglucosamine kinaseRelaxase/Mobilisation nuclease domain,1
group_754,chlorohydrolase,1
group_4580,bacteriocin immunity protein,1
group_970,hypothetical protein,0
argR2~~~argR2_2~~~argR2_1,arginine repressorArginine repressorarginine repressorarginine repressorArginine repressor C-terminal domain,0
gspA_6~~~gspA_4~~~~~~gspA_3~~~gspA_2,putative glycosyltransferaseglycosyltransferase SP_1767 familyDomain of unknown function (DUF1792),0
group_4970,GNAT family acetyltransferaseputative acetyltransferasePredicted acetyltransferaseribosomal-protein-alanine acetyltransferaseAcetyltransferase (GNAT) family,1
yheS_3~~~yjjK~~~yheS_2~~~yjjK_1~~~yheS_1,ABC transporter ATP-binding proteinUncharacterized ABC transporter ATP-binding protein YheSputative ABC transporter ATP-binding proteinABC-type transport system involved in cytochrome c biogenesis ATPase componentATP-binding cassette protein ChvD familyABC transporter,1
uvrA_2~~~uvrA_1~~~uvrA,excinuclease ABC subunit AExcinuclease ABC subunit Aexcinuclease ABC subunit AABC-type protease/lipase transport system ATPase and permease componentsexcinuclease ABC subunit A,1
phtA_1~~~gatC_2~~~gatC_3~~~IS1381truncation~~~phtD~~~transposase_C_1~~~phtD_2~~~phtA~~~phtD_1~~~phpA~~~gatC_1~~~ptsI_1,PTS system IIB component (galactitol/fructose specific)Phosphotransferase system galactitol-specific IIB componentPTS system Lactose/Cellobiose specific IIB subunit,1
group_2362,repressor-related protein,0
group_2596,phage integrase family integrase/recombinaseSite-specific recombinase XerC,1
group_140,site-specific recombinase/resolvaseDNA-invertase hinTransposase and inactivated derivativesResolvase N terminal domain,1
group_3578,putative cytoplasmic protein,0
group_1503,family proteinhypothetical proteinhypothetical proteinUncharacterised protein family (UPF0154),1
cbpG,choline binding protein GGlutamyl endopeptidase precursorV8-like Glu-specific endopeptidaseglucan-binding repeatPutative cell wall binding repeat,1
zmpD~~~zmpD_1~~~zmpD_2~~~zmpD_3,zinc metalloproteaseImmunoglobulin A1 protease precursorUncharacterized protein conserved in bacteriaM26 IgA1-specific Metallo-endopeptidase C-terminal region,0
group_4389,peptidase S54Rhomboid protease gluPintramembrane serine protease GlpGrhombosortaseRhomboid family,1
group_1197,putative integral membrane proteinPredicted integral membrane proteinProtein of unknown function DUF624,1
group_223,ATP/GTP binding proteinUncharacterized protein conserved in bacteria,0
tktC_1~~~tktC,transketolase c-terminal sectionPyruvate dehydrogenase E1 component subunit beta1-deoxy-D-xylulose-5-phosphate synthaseTransketolase C-terminal subunit1-deoxy-D-xylulose-5-phosphate synthaseTransketolase C-terminal domain,1
yqbO_2~~~yqbO,TMP repeat family,0
ABCNP_2,ABC transporter ATP-binding protein/permease,0
